Row ID,Order ID,Order Date,On Truck Scan Date,Ship Mode
2885,CA-2019-164483,30/1/2019,06/02/2019,Standard Processing
8176,CA-2019-114944,30/1/2019,06/02/2019,Standard Processing
8925,CA-2019-168032,30/1/2019,06/02/2019,Standard Processing
8926,CA-2019-168032,30/1/2019,06/02/2019,Standard Processing
8927,CA-2019-168032,30/1/2019,06/02/2019,Standard Processing
4999,CA-2019-129238,31/1/2019,06/02/2019,Standard Processing
5000,CA-2019-129238,31/1/2019,06/02/2019,Standard Processing
5614,CA-2019-147431,2/2/2019,06/02/2019,Standard Processing
8513,CA-2019-144645,2/2/2019,06/02/2019,Standard Processing
1729,CA-2019-106894,7/2/2019,08/02/2019,Express
1730,CA-2019-106894,7/2/2019,08/02/2019,Express
8489,CA-2019-158841,2/2/2019,08/02/2019,Standard Processing
8490,CA-2019-158841,2/2/2019,08/02/2019,Standard Processing
8491,CA-2019-158841,2/2/2019,08/02/2019,Standard Processing
8761,CA-2019-159891,31/1/2019,08/02/2019,Standard Processing
8762,CA-2019-159891,31/1/2019,08/02/2019,Standard Processing
8404,CA-2019-154067,1/2/2019,08/02/2019,Standard Processing
2696,CA-2019-161662,7/2/2019,11/02/2019,Express
6043,CA-2019-117912,4/2/2019,11/02/2019,Standard Processing
1809,CA-2019-164938,11/2/2019,13/02/2019,Express
9115,CA-2019-135461,7/2/2019,13/02/2019,Standard Processing
1828,CA-2019-109344,8/2/2019,13/02/2019,Standard Processing
5754,CA-2019-118514,3/2/2019,13/02/2019,Standard Processing
9068,CA-2019-150077,4/2/2019,13/02/2019,Standard Processing
9521,CA-2019-101189,4/2/2019,13/02/2019,Standard Processing
8142,CA-2019-100993,5/2/2019,13/02/2019,Standard Processing
8143,CA-2019-100993,5/2/2019,13/02/2019,Standard Processing
8144,CA-2019-100993,5/2/2019,13/02/2019,Standard Processing
8145,CA-2019-100993,5/2/2019,13/02/2019,Standard Processing
5810,CA-2019-125017,6/2/2019,13/02/2019,Standard Processing
7194,CA-2019-110492,12/2/2019,15/02/2019,Express
7195,CA-2019-110492,12/2/2019,15/02/2019,Express
7811,CA-2019-134334,14/2/2019,15/02/2019,Express
7812,CA-2019-134334,14/2/2019,15/02/2019,Express
7813,CA-2019-134334,14/2/2019,15/02/2019,Express
7814,CA-2019-134334,14/2/2019,15/02/2019,Express
8383,CA-2019-163048,8/2/2019,19/02/2019,Standard Processing
8842,US-2019-112396,9/2/2019,19/02/2019,Standard Processing
8843,US-2019-112396,9/2/2019,19/02/2019,Standard Processing
721,CA-2019-112942,13/2/2019,20/02/2019,Standard Processing
8172,CA-2019-146150,14/2/2019,20/02/2019,Standard Processing
9079,CA-2019-108105,16/2/2019,20/02/2019,Standard Processing
9080,CA-2019-108105,16/2/2019,20/02/2019,Standard Processing
9013,CA-2019-121447,21/2/2019,22/02/2019,Express
7538,CA-2019-106460,19/2/2019,25/02/2019,Standard Processing
1243,US-2019-162859,15/2/2019,25/02/2019,Standard Processing
1244,US-2019-162859,15/2/2019,25/02/2019,Standard Processing
1821,CA-2019-168956,16/2/2019,25/02/2019,Standard Processing
1822,CA-2019-168956,16/2/2019,25/02/2019,Standard Processing
1823,CA-2019-168956,16/2/2019,25/02/2019,Standard Processing
1824,CA-2019-168956,16/2/2019,25/02/2019,Standard Processing
8161,CA-2019-134138,16/2/2019,25/02/2019,Standard Processing
9722,CA-2019-105781,16/2/2019,25/02/2019,Standard Processing
9723,CA-2019-105781,16/2/2019,25/02/2019,Standard Processing
4777,CA-2019-101630,19/2/2019,27/02/2019,Standard Processing
4778,CA-2019-101630,19/2/2019,27/02/2019,Standard Processing
2989,CA-2019-139010,21/2/2019,27/02/2019,Standard Processing
2990,CA-2019-139010,21/2/2019,27/02/2019,Standard Processing
2991,CA-2019-139010,21/2/2019,27/02/2019,Standard Processing
2992,CA-2019-139010,21/2/2019,27/02/2019,Standard Processing
854,CA-2019-123274,19/2/2019,27/02/2019,Standard Processing
855,CA-2019-123274,19/2/2019,27/02/2019,Standard Processing
5306,US-2019-168410,21/2/2019,27/02/2019,Standard Processing
5307,US-2019-168410,21/2/2019,27/02/2019,Standard Processing
5308,US-2019-168410,21/2/2019,27/02/2019,Standard Processing
8277,US-2019-139262,21/2/2019,27/02/2019,Standard Processing
8278,US-2019-139262,21/2/2019,27/02/2019,Standard Processing
8279,US-2019-139262,21/2/2019,27/02/2019,Standard Processing
5405,US-2019-143280,22/2/2019,27/02/2019,Standard Processing
5406,US-2019-143280,22/2/2019,27/02/2019,Standard Processing
5407,US-2019-143280,22/2/2019,27/02/2019,Standard Processing
1579,CA-2019-102456,27/2/2019,01/03/2019,Express
2742,CA-2019-165015,25/2/2019,01/03/2019,Standard Processing
3456,CA-2019-166485,20/2/2019,01/03/2019,Standard Processing
2345,CA-2019-119025,22/2/2019,01/03/2019,Standard Processing
4748,CA-2019-120005,3/3/2019,04/03/2019,Express
4749,CA-2019-120005,3/3/2019,04/03/2019,Express
4555,CA-2019-101448,27/2/2019,04/03/2019,Standard Processing
6237,CA-2019-144400,23/2/2019,04/03/2019,Standard Processing
7848,CA-2019-128706,27/2/2019,06/03/2019,Standard Processing
3758,CA-2019-111283,28/2/2019,06/03/2019,Standard Processing
1083,US-2019-143819,1/3/2019,06/03/2019,Standard Processing
1084,US-2019-143819,1/3/2019,06/03/2019,Standard Processing
1085,US-2019-143819,1/3/2019,06/03/2019,Standard Processing
1086,US-2019-143819,1/3/2019,06/03/2019,Standard Processing
3756,CA-2019-116799,3/3/2019,08/03/2019,Express
3757,CA-2019-116799,3/3/2019,08/03/2019,Express
1705,CA-2019-106306,8/3/2019,08/03/2019,Express
9063,CA-2019-101623,28/2/2019,08/03/2019,Standard Processing
9698,CA-2019-122511,11/3/2019,11/03/2019,Express
3265,CA-2019-122518,4/3/2019,11/03/2019,Standard Processing
3953,US-2019-151862,1/3/2019,11/03/2019,Standard Processing
4215,CA-2019-164637,4/3/2019,11/03/2019,Standard Processing
9750,CA-2019-158358,4/3/2019,11/03/2019,Standard Processing
6014,CA-2019-159016,10/3/2019,13/03/2019,Express
6015,CA-2019-159016,10/3/2019,13/03/2019,Express
45,CA-2019-118255,11/3/2019,13/03/2019,Express
46,CA-2019-118255,11/3/2019,13/03/2019,Express
3887,CA-2019-167759,3/3/2019,13/03/2019,Standard Processing
3091,CA-2019-112123,3/3/2019,13/03/2019,Standard Processing
3092,CA-2019-112123,3/3/2019,13/03/2019,Standard Processing
3093,CA-2019-112123,3/3/2019,13/03/2019,Standard Processing
4003,CA-2019-145730,3/3/2019,13/03/2019,Standard Processing
4004,CA-2019-145730,3/3/2019,13/03/2019,Standard Processing
4005,CA-2019-145730,3/3/2019,13/03/2019,Standard Processing
5199,CA-2019-103982,3/3/2019,13/03/2019,Standard Processing
5200,CA-2019-103982,3/3/2019,13/03/2019,Standard Processing
5201,CA-2019-103982,3/3/2019,13/03/2019,Standard Processing
5202,CA-2019-103982,3/3/2019,13/03/2019,Standard Processing
2607,CA-2019-154053,4/3/2019,13/03/2019,Standard Processing
919,CA-2019-165218,5/3/2019,13/03/2019,Standard Processing
920,CA-2019-165218,5/3/2019,13/03/2019,Standard Processing
8443,US-2019-155173,6/3/2019,13/03/2019,Standard Processing
8444,US-2019-155173,6/3/2019,13/03/2019,Standard Processing
8445,US-2019-155173,6/3/2019,13/03/2019,Standard Processing
8982,CA-2019-110898,6/3/2019,13/03/2019,Standard Processing
8983,CA-2019-110898,6/3/2019,13/03/2019,Standard Processing
8984,CA-2019-110898,6/3/2019,13/03/2019,Standard Processing
8985,CA-2019-110898,6/3/2019,13/03/2019,Standard Processing
839,US-2019-137547,7/3/2019,13/03/2019,Standard Processing
6417,CA-2019-111976,8/3/2019,13/03/2019,Standard Processing
6418,CA-2019-111976,8/3/2019,13/03/2019,Standard Processing
7234,CA-2019-137337,8/3/2019,13/03/2019,Standard Processing
7235,CA-2019-137337,8/3/2019,13/03/2019,Standard Processing
7236,CA-2019-137337,8/3/2019,13/03/2019,Standard Processing
8506,CA-2019-130400,8/3/2019,13/03/2019,Standard Processing
8507,CA-2019-130400,8/3/2019,13/03/2019,Standard Processing
8508,CA-2019-130400,8/3/2019,13/03/2019,Standard Processing
8332,CA-2019-153269,9/3/2019,15/03/2019,Express
8333,CA-2019-153269,9/3/2019,15/03/2019,Express
8334,CA-2019-153269,9/3/2019,15/03/2019,Express
8335,CA-2019-153269,9/3/2019,15/03/2019,Express
8100,CA-2019-169663,10/3/2019,15/03/2019,Express
8101,CA-2019-169663,10/3/2019,15/03/2019,Express
1047,CA-2019-169103,8/3/2019,15/03/2019,Standard Processing
1048,CA-2019-169103,8/3/2019,15/03/2019,Standard Processing
8812,US-2019-140172,8/3/2019,15/03/2019,Standard Processing
8813,US-2019-140172,8/3/2019,15/03/2019,Standard Processing
152,CA-2019-158834,13/3/2019,18/03/2019,Express
153,CA-2019-158834,13/3/2019,18/03/2019,Express
3929,CA-2019-162082,14/3/2019,18/03/2019,Express
3930,CA-2019-162082,14/3/2019,18/03/2019,Express
3931,CA-2019-162082,14/3/2019,18/03/2019,Express
4259,CA-2019-124793,14/3/2019,18/03/2019,Express
7648,CA-2019-138968,15/3/2019,18/03/2019,Express
7649,CA-2019-138968,15/3/2019,18/03/2019,Express
3737,CA-2019-115476,17/3/2019,18/03/2019,Express
3738,CA-2019-115476,17/3/2019,18/03/2019,Express
4400,CA-2019-131737,17/3/2019,18/03/2019,Express
4401,CA-2019-131737,17/3/2019,18/03/2019,Express
4402,CA-2019-131737,17/3/2019,18/03/2019,Express
9412,CA-2019-108959,10/3/2019,18/03/2019,Standard Processing
5957,CA-2019-127138,12/3/2019,18/03/2019,Standard Processing
5958,CA-2019-127138,12/3/2019,18/03/2019,Standard Processing
5959,CA-2019-127138,12/3/2019,18/03/2019,Standard Processing
5960,CA-2019-127138,12/3/2019,18/03/2019,Standard Processing
5884,CA-2019-136301,13/3/2019,18/03/2019,Standard Processing
5885,CA-2019-136301,13/3/2019,18/03/2019,Standard Processing
7415,US-2019-114013,13/3/2019,18/03/2019,Standard Processing
7416,US-2019-114013,13/3/2019,18/03/2019,Standard Processing
7417,US-2019-114013,13/3/2019,18/03/2019,Standard Processing
7418,US-2019-114013,13/3/2019,18/03/2019,Standard Processing
7419,US-2019-114013,13/3/2019,18/03/2019,Standard Processing
7420,US-2019-114013,13/3/2019,18/03/2019,Standard Processing
7421,US-2019-114013,13/3/2019,18/03/2019,Standard Processing
7422,US-2019-114013,13/3/2019,18/03/2019,Standard Processing
7423,US-2019-114013,13/3/2019,18/03/2019,Standard Processing
8160,CA-2019-120803,9/3/2019,18/03/2019,Standard Processing
4063,US-2019-122182,10/3/2019,18/03/2019,Standard Processing
1462,US-2019-128902,11/3/2019,18/03/2019,Standard Processing
2759,CA-2019-146171,11/3/2019,18/03/2019,Standard Processing
2760,CA-2019-146171,11/3/2019,18/03/2019,Standard Processing
3607,CA-2019-119683,12/3/2019,20/03/2019,Standard Processing
1876,US-2019-112977,10/3/2019,20/03/2019,Standard Processing
804,CA-2019-115504,12/3/2019,20/03/2019,Standard Processing
8480,US-2019-119270,12/3/2019,20/03/2019,Standard Processing
2346,CA-2019-159373,13/3/2019,20/03/2019,Standard Processing
2347,CA-2019-159373,13/3/2019,20/03/2019,Standard Processing
2348,CA-2019-159373,13/3/2019,20/03/2019,Standard Processing
2364,US-2019-108637,13/3/2019,20/03/2019,Standard Processing
2365,US-2019-108637,13/3/2019,20/03/2019,Standard Processing
2366,US-2019-108637,13/3/2019,20/03/2019,Standard Processing
9343,CA-2019-119123,13/3/2019,20/03/2019,Standard Processing
1693,US-2019-154361,14/3/2019,20/03/2019,Standard Processing
8934,CA-2019-102134,14/3/2019,20/03/2019,Standard Processing
1615,US-2019-113509,15/3/2019,20/03/2019,Standard Processing
9169,CA-2019-140571,15/3/2019,20/03/2019,Standard Processing
9170,CA-2019-140571,15/3/2019,20/03/2019,Standard Processing
9920,CA-2019-149272,15/3/2019,20/03/2019,Standard Processing
9921,CA-2019-149272,15/3/2019,20/03/2019,Standard Processing
7695,CA-2019-118899,22/3/2019,22/03/2019,Express
8382,CA-2019-134544,17/3/2019,22/03/2019,Standard Processing
495,US-2019-120929,18/3/2019,22/03/2019,Standard Processing
6474,CA-2019-113292,18/3/2019,22/03/2019,Standard Processing
2226,CA-2019-106383,19/3/2019,22/03/2019,Standard Processing
2853,CA-2019-136371,19/3/2019,22/03/2019,Standard Processing
2854,CA-2019-136371,19/3/2019,22/03/2019,Standard Processing
6116,CA-2019-133802,14/3/2019,22/03/2019,Standard Processing
1672,CA-2019-107615,22/3/2019,25/03/2019,Express
3371,CA-2019-134887,25/3/2019,25/03/2019,Express
749,CA-2019-150889,20/3/2019,25/03/2019,Standard Processing
4229,CA-2019-113803,24/3/2019,27/03/2019,Express
3159,US-2019-162677,26/3/2019,27/03/2019,Express
3160,US-2019-162677,26/3/2019,27/03/2019,Express
3312,CA-2019-162747,20/3/2019,27/03/2019,Standard Processing
2394,CA-2019-128111,17/3/2019,27/03/2019,Standard Processing
9177,CA-2019-118178,19/3/2019,27/03/2019,Standard Processing
589,US-2019-156986,20/3/2019,27/03/2019,Standard Processing
590,US-2019-156986,20/3/2019,27/03/2019,Standard Processing
591,US-2019-156986,20/3/2019,27/03/2019,Standard Processing
592,US-2019-156986,20/3/2019,27/03/2019,Standard Processing
1041,CA-2019-127670,20/3/2019,27/03/2019,Standard Processing
3766,CA-2019-163153,21/3/2019,27/03/2019,Standard Processing
3767,CA-2019-163153,21/3/2019,27/03/2019,Standard Processing
9130,CA-2019-130911,24/3/2019,29/03/2019,Standard Processing
9131,CA-2019-130911,24/3/2019,29/03/2019,Standard Processing
7931,CA-2019-120082,25/3/2019,29/03/2019,Standard Processing
9018,CA-2019-161361,26/3/2019,29/03/2019,Standard Processing
9019,CA-2019-161361,26/3/2019,29/03/2019,Standard Processing
3172,US-2019-133879,21/3/2019,29/03/2019,Standard Processing
3173,US-2019-133879,21/3/2019,29/03/2019,Standard Processing
3174,US-2019-133879,21/3/2019,29/03/2019,Standard Processing
1352,CA-2019-162901,28/3/2019,01/04/2019,Express
3030,US-2019-164189,24/3/2019,01/04/2019,Standard Processing
1328,CA-2019-128258,30/3/2019,03/04/2019,Express
8572,CA-2019-162222,3/4/2019,03/04/2019,Express
7158,CA-2019-131380,28/3/2019,03/04/2019,Standard Processing
7159,CA-2019-131380,28/3/2019,03/04/2019,Standard Processing
3551,CA-2019-152555,29/3/2019,03/04/2019,Standard Processing
3552,CA-2019-152555,29/3/2019,03/04/2019,Standard Processing
3553,CA-2019-152555,29/3/2019,03/04/2019,Standard Processing
664,CA-2019-123666,26/3/2019,03/04/2019,Standard Processing
8545,CA-2019-119074,27/3/2019,03/04/2019,Standard Processing
8546,CA-2019-119074,27/3/2019,03/04/2019,Standard Processing
8547,CA-2019-119074,27/3/2019,03/04/2019,Standard Processing
3973,CA-2019-167556,29/3/2019,03/04/2019,Standard Processing
3974,CA-2019-167556,29/3/2019,03/04/2019,Standard Processing
3975,CA-2019-167556,29/3/2019,03/04/2019,Standard Processing
3976,CA-2019-167556,29/3/2019,03/04/2019,Standard Processing
6382,CA-2019-127236,29/3/2019,03/04/2019,Standard Processing
6383,CA-2019-127236,29/3/2019,03/04/2019,Standard Processing
4243,CA-2019-159142,4/4/2019,05/04/2019,Express
4244,CA-2019-159142,4/4/2019,05/04/2019,Express
5421,US-2019-151827,31/3/2019,05/04/2019,Standard Processing
5422,US-2019-151827,31/3/2019,05/04/2019,Standard Processing
448,CA-2019-166674,1/4/2019,05/04/2019,Standard Processing
449,CA-2019-166674,1/4/2019,05/04/2019,Standard Processing
450,CA-2019-166674,1/4/2019,05/04/2019,Standard Processing
451,CA-2019-166674,1/4/2019,05/04/2019,Standard Processing
452,CA-2019-166674,1/4/2019,05/04/2019,Standard Processing
453,CA-2019-166674,1/4/2019,05/04/2019,Standard Processing
5643,CA-2019-127985,1/4/2019,08/04/2019,Standard Processing
4090,CA-2019-161473,1/4/2019,08/04/2019,Standard Processing
4091,CA-2019-161473,1/4/2019,08/04/2019,Standard Processing
4092,CA-2019-161473,1/4/2019,08/04/2019,Standard Processing
5142,CA-2019-111213,1/4/2019,08/04/2019,Standard Processing
5143,CA-2019-111213,1/4/2019,08/04/2019,Standard Processing
5144,CA-2019-111213,1/4/2019,08/04/2019,Standard Processing
754,CA-2019-110499,7/4/2019,10/04/2019,Express
9369,CA-2019-154998,7/4/2019,10/04/2019,Express
8563,CA-2019-123540,2/4/2019,10/04/2019,Standard Processing
8228,CA-2019-123050,4/4/2019,10/04/2019,Standard Processing
8229,CA-2019-123050,4/4/2019,10/04/2019,Standard Processing
8230,CA-2019-123050,4/4/2019,10/04/2019,Standard Processing
6128,CA-2019-124100,31/3/2019,10/04/2019,Standard Processing
647,CA-2019-103947,1/4/2019,10/04/2019,Standard Processing
648,CA-2019-103947,1/4/2019,10/04/2019,Standard Processing
3967,CA-2019-149902,1/4/2019,10/04/2019,Standard Processing
8523,US-2019-160206,1/4/2019,10/04/2019,Standard Processing
5059,CA-2019-120796,3/4/2019,10/04/2019,Standard Processing
5898,CA-2019-167682,3/4/2019,10/04/2019,Standard Processing
5899,CA-2019-167682,3/4/2019,10/04/2019,Standard Processing
5440,CA-2019-167115,4/4/2019,10/04/2019,Standard Processing
9316,CA-2019-161907,5/4/2019,10/04/2019,Standard Processing
9317,CA-2019-161907,5/4/2019,10/04/2019,Standard Processing
6151,US-2019-106600,8/4/2019,12/04/2019,Express
900,US-2019-114622,10/4/2019,12/04/2019,Express
89,CA-2019-159695,5/4/2019,12/04/2019,Standard Processing
7361,CA-2019-163594,12/4/2019,15/04/2019,Express
7362,CA-2019-163594,12/4/2019,15/04/2019,Express
7363,CA-2019-163594,12/4/2019,15/04/2019,Express
1980,CA-2019-112669,14/4/2019,15/04/2019,Express
1981,CA-2019-112669,14/4/2019,15/04/2019,Express
8799,US-2019-150140,6/4/2019,15/04/2019,Standard Processing
8517,CA-2019-132899,7/4/2019,15/04/2019,Standard Processing
904,CA-2019-130477,8/4/2019,15/04/2019,Standard Processing
905,CA-2019-130477,8/4/2019,15/04/2019,Standard Processing
906,CA-2019-130477,8/4/2019,15/04/2019,Standard Processing
1198,CA-2019-130946,8/4/2019,15/04/2019,Standard Processing
1199,CA-2019-130946,8/4/2019,15/04/2019,Standard Processing
1200,CA-2019-130946,8/4/2019,15/04/2019,Standard Processing
7775,CA-2019-152800,13/4/2019,17/04/2019,Express
3054,CA-2019-128517,9/4/2019,17/04/2019,Standard Processing
3055,CA-2019-128517,9/4/2019,17/04/2019,Standard Processing
4735,CA-2019-120530,7/4/2019,17/04/2019,Standard Processing
9935,CA-2019-114405,7/4/2019,17/04/2019,Standard Processing
9936,CA-2019-114405,7/4/2019,17/04/2019,Standard Processing
355,CA-2019-138520,8/4/2019,17/04/2019,Standard Processing
356,CA-2019-138520,8/4/2019,17/04/2019,Standard Processing
357,CA-2019-138520,8/4/2019,17/04/2019,Standard Processing
358,CA-2019-138520,8/4/2019,17/04/2019,Standard Processing
3673,CA-2019-104969,8/4/2019,17/04/2019,Standard Processing
3674,CA-2019-104969,8/4/2019,17/04/2019,Standard Processing
4196,CA-2019-124233,8/4/2019,17/04/2019,Standard Processing
5508,CA-2019-150000,8/4/2019,17/04/2019,Standard Processing
6717,CA-2019-134789,8/4/2019,17/04/2019,Standard Processing
6718,CA-2019-134789,8/4/2019,17/04/2019,Standard Processing
6719,CA-2019-134789,8/4/2019,17/04/2019,Standard Processing
1560,CA-2019-126809,9/4/2019,17/04/2019,Standard Processing
5400,CA-2019-117681,9/4/2019,17/04/2019,Standard Processing
4500,CA-2019-124814,10/4/2019,17/04/2019,Standard Processing
4501,CA-2019-124814,10/4/2019,17/04/2019,Standard Processing
7474,CA-2019-109652,10/4/2019,17/04/2019,Standard Processing
1130,CA-2019-112102,12/4/2019,17/04/2019,Standard Processing
1131,CA-2019-112102,12/4/2019,17/04/2019,Standard Processing
1132,CA-2019-112102,12/4/2019,17/04/2019,Standard Processing
5775,CA-2019-142398,12/4/2019,17/04/2019,Standard Processing
5776,CA-2019-142398,12/4/2019,17/04/2019,Standard Processing
5890,CA-2019-166625,14/4/2019,19/04/2019,Express
552,CA-2019-136406,15/4/2019,19/04/2019,Standard Processing
2253,CA-2019-117849,15/4/2019,19/04/2019,Standard Processing
6919,CA-2019-105473,16/4/2019,19/04/2019,Standard Processing
6736,CA-2019-123358,10/4/2019,19/04/2019,Standard Processing
6737,CA-2019-123358,10/4/2019,19/04/2019,Standard Processing
6738,CA-2019-123358,10/4/2019,19/04/2019,Standard Processing
6739,CA-2019-123358,10/4/2019,19/04/2019,Standard Processing
9135,CA-2019-124254,12/4/2019,19/04/2019,Standard Processing
9136,CA-2019-124254,12/4/2019,19/04/2019,Standard Processing
9137,CA-2019-124254,12/4/2019,19/04/2019,Standard Processing
9206,CA-2019-146423,21/4/2019,22/04/2019,Express
9207,CA-2019-146423,21/4/2019,22/04/2019,Express
418,CA-2019-148796,14/4/2019,22/04/2019,Standard Processing
1591,US-2019-132423,15/4/2019,22/04/2019,Standard Processing
1592,US-2019-132423,15/4/2019,22/04/2019,Standard Processing
2723,CA-2019-164735,14/4/2019,24/04/2019,Standard Processing
2644,CA-2019-149111,17/4/2019,24/04/2019,Standard Processing
2645,CA-2019-149111,17/4/2019,24/04/2019,Standard Processing
430,US-2019-123750,15/4/2019,24/04/2019,Standard Processing
431,US-2019-123750,15/4/2019,24/04/2019,Standard Processing
432,US-2019-123750,15/4/2019,24/04/2019,Standard Processing
433,US-2019-123750,15/4/2019,24/04/2019,Standard Processing
4160,US-2019-164588,16/4/2019,24/04/2019,Standard Processing
4278,US-2019-107440,16/4/2019,24/04/2019,Standard Processing
4279,US-2019-107440,16/4/2019,24/04/2019,Standard Processing
4280,US-2019-107440,16/4/2019,24/04/2019,Standard Processing
